股票代码,股票简称,概念板块,行业板块,数据季度
601857,中国石油,AH股;一带一路;中字头;中特估;参股保险;周期股;大盘价值;天然气;央国企改革;油气资源;红利股;页岩气,炼化及贸易;炼油化工;石油石化,2026Q2
601899,紫金矿业,2025年报预增;AH股;一带一路;周期股;央国企改革;小金属概念;稀缺资源;贬值受益;锂矿概念;黄金概念,工业金属;有色金属;铜,2026Q2
601900,南方传媒,AI应用;人工智能;参股银行;在线教育;央国企改革;小盘价值;小盘股;数字阅读,传媒;出版;教育出版,2026Q2
601928,凤凰传媒,上证380;中盘价值;中盘股;中证500;养老金;在线教育;央国企改革;数字阅读;数据中心;红利股;网络游戏;虚拟现实;蚂蚁概念,传媒;出版;教育出版,2026Q2
601939,建设银行,AH股;中特估;互联网金融;历史新高;大盘价值;央国企改革;百日新高;红利破净股;红利股;趋势股;跨境支付;近期新高;银行Ⅱ;长期破净,国有大型银行Ⅲ;银行,2026Q2
601958,金钼股份,OLED;上证380;中盘股;中证500;军工;央国企改革;小金属概念;稀缺资源;西部大开发,小金属;有色金属;钼,2026Q2
601988,中国银行,AH股;中字头;中特估;互联网金融;央国企改革;百日新高;红利破净股;红利股;趋势股;跨境支付;近期新高;银行Ⅱ;长期破净,国有大型银行Ⅲ;银行,2026Q2
601998,中信银行,AH股;中特估;大盘价值;央国企改革;破净股;红利破净股;红利股;银行Ⅱ;长期破净,股份制银行Ⅲ;银行,2026Q2
603040,新坐标,专精特新;养老金;新能源车;汽车热管理,底盘与发动机系统;汽车;汽车零部件,2026Q2
603444,吉比特,2025三季报预增;2025年报预增;2026一季报预增;上证380;中盘股;中证500;文娱消费;网络游戏;谷子经济,传媒;游戏Ⅱ;游戏Ⅲ,2026Q2
603508,思维列控,大数据;小盘价值;小盘股;无人驾驶;红利股;车联网(车路云);铁路基建,安防设备;计算机;计算机设备,2026Q2
